日期,收盤價(還原權息),成交量
2006-01-04,18.524566650390625,458200
2006-01-05,18.542020797729492,553600
2006-01-06,18.8443546295166,567400
2006-01-09,19.007160186767578,699600
2006-01-10,18.83854866027832,393800
2006-01-11,18.972278594970703,843200
2006-01-12,18.861801147460938,612400
2006-01-13,18.88796615600586,1470400
2006-01-17,18.52747344970703,713600
2006-01-18,18.431541442871094,399000
2006-01-19,18.949020385742188,510600
2006-01-20,18.446081161499023,377600
2006-01-23,18.742610931396484,393000
2006-01-24,19.0013484954834,438800
2006-01-25,19.010068893432617,857400
2006-01-26,19.30078887939453,1479600
2006-01-27,19.678722381591797,587200
2006-01-30,19.643831253051758,481000
2006-01-31,19.75721549987793,334800
2006-02-01,19.8211669921875,382400
2006-02-02,19.332767486572266,435600
2006-02-03,19.126352310180664,432200
2006-02-06,19.536270141601562,345600
2006-02-07,19.137989044189453,379800
2006-02-08,19.15833854675293,386000
2006-02-09,19.16414451599121,217800
2006-02-10,19.1903133392334,322000
2006-02-13,18.762962341308594,395200
2006-02-14,19.143802642822266,228600
2006-02-15,19.114721298217773,228000
2006-02-16,19.44905662536621,412200
2006-02-17,19.4897518157959,369000
2006-02-21,19.376373291015625,342600
2006-02-22,19.501384735107422,276400
2006-02-23,19.52173614501953,176000
2006-02-24,19.576967239379883,308800
2006-02-27,19.68743896484375,316800
2006-02-28,19.332767486572266,466200
2006-03-01,19.73395347595215,353000
2006-03-02,19.795007705688477,282800
2006-03-03,19.469406127929688,424000
2006-03-06,19.204851150512695,333200
2006-03-07,18.50712776184082,510200
2006-03-08,18.652488708496094,394400
2006-03-09,18.573991775512695,270800
2006-03-10,18.896692276000977,335800
2006-03-13,18.899595260620117,279200
2006-03-14,19.382184982299805,234400
2006-03-15,19.568246841430664,353000
2006-03-16,19.457775115966797,206400
2006-03-17,19.533363342285156,258200
2006-03-20,19.579870223999023,205800
2006-03-21,19.204851150512695,309400
2006-03-22,19.29497528076172,307200
2006-03-23,19.16996192932129,242000
2006-03-24,19.29497528076172,258200
2006-03-27,19.38509178161621,230800
2006-03-28,19.16414451599121,205200
2006-03-29,19.39381217956543,167800
2006-03-30,19.533363342285156,253200
2006-03-31,19.55953025817871,184200
2006-04-03,20.036304473876953,309400
2006-04-04,20.24561882019043,218800
2006-04-05,20.437498092651367,1374600
2006-04-06,20.402605056762695,616200
2006-04-07,20.149686813354492,289400
2006-04-10,20.120609283447266,205600
2006-04-11,19.914207458496094,182400
2006-04-12,20.02176284790039,198800
2006-04-13,20.036304473876953,215800
2006-04-17,20.271793365478516,323000
2006-04-18,20.905555725097656,297200
2006-04-19,21.088706970214844,409200
2006-04-20,21.03928565979004,457200
2006-04-21,21.120685577392578,219400
2006-04-24,21.048002243041992,258000
2006-04-25,20.760190963745117,307400
2006-04-26,21.135215759277344,223000
2006-04-27,21.013113021850586,276600
2006-04-28,21.08579444885254,227800
2006-05-01,21.14394760131836,328800
2006-05-02,21.510242462158203,253600
2006-05-03,21.524782180786133,263800
2006-05-04,21.702116012573242,350800
2006-05-05,21.978300094604492,313400
2006-05-08,22.09459686279297,406400
2006-05-09,22.11784553527832,332400
2006-05-10,21.99864959716797,374200
2006-05-11,21.45501708984375,440200
2006-05-12,20.981136322021484,553200
2006-05-15,20.376445770263672,650800
2006-05-16,20.50727081298828,299400
2006-05-17,19.856061935424805,437200
2006-05-18,19.47521209716797,513000
2006-05-19,19.70197868347168,423800
2006-05-22,18.655391693115234,979600
2006-05-23,18.710630416870117,917200
2006-05-24,18.58562660217285,625200
2006-05-25,19.178680419921875,424600
2006-05-26,19.329856872558594,283400
2006-05-30,18.315248489379883,639400
2006-05-31,18.704811096191406,330000
2006-06-01,19.07111358642578,278400
2006-06-02,19.26299285888672,369600
2006-06-05,18.431541442871094,380200
2006-06-06,18.1669864654541,596600
2006-06-07,17.916969299316406,426400
2006-06-08,17.390769958496094,1128200
2006-06-09,17.277389526367188,941600
2006-06-12,16.76572608947754,336800
2006-06-13,16.370346069335938,747400
2006-06-14,16.81224250793457,786800
2006-06-15,17.597171783447266,1198400
2006-06-16,17.486705780029297,917800
2006-06-19,16.934335708618164,433400
2006-06-20,17.175640106201172,394000
2006-06-21,17.571012496948242,965600
2006-06-22,17.411113739013672,204400
2006-06-23,17.53031349182129,338800
2006-06-26,17.443092346191406,159200
2006-06-27,17.28611183166504,361200
2006-06-28,17.675668716430664,169000
2006-06-29,18.637948989868164,624200
2006-06-30,18.687368392944336,570000
2006-07-03,19.117639541625977,224200
2006-07-05,18.550737380981445,382400
2006-07-06,18.931577682495117,305600
2006-07-07,18.617605209350586,225400
2006-07-10,18.7484188079834,180600
2006-07-11,18.937389373779297,271800
2006-07-12,18.646677017211914,162000
2006-07-13,17.931501388549805,693000
2006-07-14,17.791959762573242,409000
2006-07-17,17.5681095123291,257200
2006-07-18,17.78323745727539,218200
2006-07-19,18.643766403198242,500600
2006-07-20,18.22513198852539,300200
2006-07-21,17.84138298034668,228200
2006-07-24,18.719356536865234,422800
2006-07-25,18.76004981994629,542200
2006-07-26,18.614694595336914,169200
2006-07-27,18.789113998413086,197600
2006-07-28,19.23973274230957,261600
2006-07-31,19.033329010009766,334400
2006-08-01,18.701902389526367,213400
2006-08-02,18.975177764892578,234000
2006-08-03,18.95774269104004,253200
2006-08-04,18.95193099975586,235000
2006-08-07,18.890878677368164,239600
2006-08-08,18.946107864379883,301200
2006-08-09,18.954832077026367,190000
2006-08-10,19.097286224365234,230400
2006-08-11,18.963558197021484,141000
2006-08-14,18.98099708557129,151400
2006-08-15,19.379283905029297,138000
2006-08-16,19.707792282104492,296000
2006-08-17,19.611852645874023,359600
2006-08-18,19.51010513305664,300400
2006-08-21,19.335676193237305,182800
2006-08-22,19.306596755981445,139800
2006-08-23,19.039134979248047,239200
2006-08-24,19.059492111206055,181200
2006-08-25,19.12344741821289,103200
2006-08-28,19.23101234436035,175000
2006-08-29,19.32114028930664,150000
2006-08-30,19.44905662536621,159000
2006-08-31,19.315322875976562,132200
2006-09-01,19.582782745361328,244000
2006-09-05,19.8211669921875,254800
2006-09-06,19.22810935974121,307200
2006-09-07,19.05658531188965,217200
2006-09-08,19.23101234436035,60000
2006-09-11,18.809471130371094,198800
2006-09-12,19.143802642822266,182800
2006-09-13,19.40544319152832,220800
2006-09-14,19.251365661621094,153200
2006-09-15,19.31822967529297,96800
2006-09-18,19.629295349121094,166800
2006-09-19,19.38509178161621,288800
2006-09-20,19.60894775390625,272800
2006-09-21,19.26009178161621,209600
2006-09-22,19.053678512573242,143600
2006-09-25,19.23973274230957,140800
2006-09-26,19.478124618530273,142400
2006-09-27,19.46649932861328,189400
2006-09-28,19.62348175048828,129600
2006-09-29,19.518827438354492,352200
2006-10-02,19.542076110839844,155000
2006-10-03,19.28915786743164,220400
2006-10-04,19.664182662963867,207400
2006-10-05,19.914207458496094,295200
2006-10-06,19.79791831970215,601000
2006-10-09,19.678722381591797,322000
2006-10-10,19.8531551361084,116200
